,id,timestamp,aqi,pm2_5,pm10,co,no2,o3,so2,calculated_aqi,hour,day
count,371.0,371,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0
mean,186.0,2026-08-03 18:11:31.447439360,3.091644204851752,40.20218328840971,45.93835579514824,589.3126684636119,14.196172506738543,54.00361185983827,6.560592991913746,107.78975741239893,17.19946091644205,16.070080862533693
min,1.0,2026-07-17 14:54:48,1.0,7.14,8.46,248.98,1.89,0.22,2.82,30.0,0.0,1.0
25%,93.5,2026-07-26 13:33:46.500000,3.0,27.075,30.145,386.06,7.4350000000000005,29.94,5.22,82.5,14.0,9.0
50%,186.0,2026-08-03 17:03:44,3.0,36.93,40.43,547.2,12.8,52.06,6.3,105.0,18.0,18.0
75%,278.5,2026-08-12 14:56:13,4.0,52.54,61.394999999999996,729.595,18.985,74.6,7.55,143.0,21.0,22.0
max,371.0,2026-08-21 18:03:44,5.0,97.47,119.31,1310.84,39.28,146.15,16.11,173.0,23.0,31.0
std,107.24271537032247,,0.9077505566330857,19.607952504955353,22.776651789689005,245.02058180100562,8.312154234216559,32.66381129017695,1.9842469260720628,37.38620937675567,4.449488246366028,8.609890274212798
